# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
naca0024

Re and corresponding polar
# Reynolds number (-)
50000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
12.5       1.0914      0.03084       0.0393
12.75       1.1034      0.03151       0.0411
13       1.1001      0.03257       0.0442
13.25        1.103      0.03358       0.0464
13.5       1.1117      0.03447        0.048
13.75       1.1204      0.03554       0.0494
14       1.1216      0.03695       0.0511
14.25       1.1281      0.03816       0.0523
14.5       1.1437      0.03898        0.053
14.75       1.1436      0.04076       0.0542
15       1.1458      0.04246       0.0551
15.25       1.1536      0.04382       0.0558
15.5        1.171      0.04464       0.0563
15.75       1.1652      0.04713        0.057
16       1.1668      0.04917       0.0574
16.25       1.1747      0.05071       0.0577
16.5       1.1924      0.05151        0.058
16.75       1.1827      0.05471       0.0581
17       1.1814      0.05728        0.058
17.25       1.1878      0.05912        0.058
17.5       1.2089      0.05954       0.0584
17.75       1.1958      0.06344       0.0578
18       1.1876        0.067       0.0571
18.25       1.1896      0.06949       0.0567
18.5       1.2036       0.0706       0.0566
18.75       1.2081      0.07283       0.0564
19       1.1868      0.07821       0.0547
19.25       1.1767      0.08238       0.0534

Re and corresponding polar
# Reynolds number (-)
500000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-19.75      -1.2119      0.08663      -0.0434
-19.5      -1.2128      0.08353      -0.0443
-19.25       -1.214      0.08032      -0.0453
-19      -1.2126      0.07743      -0.0461
-18.75      -1.2135      0.07441      -0.0468
-18.5      -1.2149      0.07138      -0.0474
-18.25      -1.2158      0.06837      -0.0481
-18      -1.2132      0.06574      -0.0486
-17.75        -1.21      0.06318      -0.0491
-17.5      -1.2112      0.06034      -0.0494
-17.25      -1.2116      0.05753      -0.0498
-17      -1.2093      0.05501      -0.0501
-16.75      -1.2034      0.05287      -0.0503
-16.5      -1.2013      0.05044      -0.0504
-16.25      -1.2007      0.04792      -0.0504
-16      -1.1967      0.04574      -0.0503
-15.75      -1.1895      0.04387      -0.0503
-15.5      -1.1841      0.04191      -0.0501
